timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1581429085487,526,LoginRequest,200,,MODGroup 1-1,text,true,,482,261,3,3,525,0,56
1581429085628,391,LoginRequest,200,,MODGroup 1-2,text,true,,482,261,3,3,391,0,1
1581429085831,191,LoginRequest,200,,MODGroup 1-3,text,true,,482,261,3,3,190,0,3
1581429086023,449,SearchTrainingRequest,200,,MODGroup 1-3,text,true,,530,336,4,4,445,0,0
1581429086020,474,SearchTrainingRequest,200,,MODGroup 1-2,text,true,,530,336,4,4,473,0,0
1581429086472,35,LoginRequest,200,,MODGroup 1-3,text,true,,482,261,4,4,34,0,0
1581429086495,21,LoginRequest,200,,MODGroup 1-2,text,true,,482,261,4,4,20,0,0
1581429086203,334,LoginRequest,200,,MODGroup 1-4,text,true,,482,261,4,4,332,0,4
1581429086018,543,SearchTrainingRequest,200,,MODGroup 1-1,text,true,,530,336,4,4,542,0,0
1581429086563,25,LoginRequest,200,,MODGroup 1-1,text,true,,482,261,4,4,24,0,0
1581429086539,652,SearchTrainingRequest,200,,MODGroup 1-4,text,true,,530,336,5,5,650,0,0
1581429086517,697,SearchTrainingRequest,200,,MODGroup 1-2,text,true,,530,336,5,5,696,0,0
1581429087215,17,LoginRequest,200,,MODGroup 1-2,text,true,,482,261,5,5,15,0,0
1581429087191,64,LoginRequest,200,,MODGroup 1-4,text,true,,482,261,5,5,12,0,0
1581429086508,910,SearchTrainingRequest,200,,MODGroup 1-3,text,true,,530,336,5,5,536,0,0
1581429087164,354,LoginRequest,200,,MODGroup 1-5,text,true,,482,261,5,5,352,0,3
1581429087419,113,LoginRequest,200,,MODGroup 1-3,text,true,,482,261,5,5,112,0,0
1581429087233,322,SearchTrainingRequest,200,,MODGroup 1-2,text,true,,530,336,5,5,321,0,0
1581429086589,975,SearchTrainingRequest,200,,MODGroup 1-1,text,true,,530,336,4,4,974,0,0
1581429087256,314,SearchTrainingRequest,200,,MODGroup 1-4,text,true,,530,336,4,4,313,0,0
1581429087571,24,LoginRequest,200,,MODGroup 1-4,text,true,,482,261,4,4,23,0,0
1581429087518,93,SearchTrainingRequest,200,,MODGroup 1-5,text,true,,530,336,4,4,91,0,0
1581429087565,53,LoginRequest,200,,MODGroup 1-1,text,true,,482,261,4,4,53,0,1
1581429087532,119,SearchTrainingRequest,200,,MODGroup 1-3,text,true,,530,336,4,4,116,0,0
1581429087611,321,LoginRequest,200,,MODGroup 1-5,text,true,,482,261,3,3,318,0,0
1581429087619,339,SearchTrainingRequest,200,,MODGroup 1-1,text,true,,530,336,3,3,337,0,0
1581429087596,365,SearchTrainingRequest,200,,MODGroup 1-4,text,true,,530,336,2,2,360,0,0
1581429087933,211,SearchTrainingRequest,200,,MODGroup 1-5,text,true,,530,336,1,1,210,0,0
1581429088147,15,LoginRequest,200,,MODGroup 1-5,text,true,,482,261,1,1,14,0,0
1581429088163,44,SearchTrainingRequest,200,,MODGroup 1-5,text,true,,530,336,1,1,43,0,0
